"swbi","iDeaths","iCases","FTSEMIB","iCoronaVirus","iCoronaVirusNews","iCovid","iCovidNews","iRt","iUnemployment","iUnemploymentNews","iEconomy","iEconomyNews","iGDP","iGDPNews","iStress","iDepression","iHealth","iSolitude","iInsomnia","iResidential","iWorkplace","ipm25","itemperature","iWuhan","iAdultContent","iFB.CLI","iFB.ILI","iFB.MC","iFB.DC","iFB.HF","ilockdown"
51.8017463700242,0,0,23661.6666666667,0.928571428571429,0,0,0,46.4285714285714,37.8571428571429,46.4285714285714,80.8571428571429,50.7142857142857,39,51.2857142857143,60.2857142857143,96.4285714285714,20.5714285714286,56.5714285714286,83.4285714285714,NA,NA,NA,NA,NA,71.8571428571429,NA,NA,NA,NA,NA,0
51.8782940711664,0,0,23621.3333333333,1,0,0,0,47,39,48,83,49,40,49,61,100,21,55,86,NA,NA,100.83658008658,4.90119047619048,1,71,NA,NA,NA,NA,NA,0
51.5592037872974,0,0,23581,1.07142857142857,0,0,0,45.8571428571429,39.8571428571429,45.7142857142857,83.2857142857143,49.4285714285714,40.4285714285714,52.2857142857143,62.2857142857143,98.2857142857143,21,53.5714285714286,83,NA,NA,101.241341991342,4.50833333333333,1,70.4285714285714,NA,NA,NA,NA,NA,0
50.1396296541561,0,0,23723,1.14285714285714,0,0,0,44.7142857142857,40.7142857142857,43.4285714285714,83.5714285714286,49.8571428571429,40.8571428571429,55.5714285714286,63.5714285714286,96.5714285714286,21,52.1428571428571,80,NA,NA,102.678571428571,4.42857142857143,1,69.8571428571429,NA,NA,NA,NA,NA,0
48.2758085066476,0,0,23832,1.21428571428571,0,0,0,43.5714285714286,41.5714285714286,41.1428571428571,83.8571428571429,50.2857142857143,41.2857142857143,58.8571428571429,64.8571428571429,94.8571428571429,21,50.7142857142857,77,NA,NA,97.6547619047619,4.71309523809524,1,69.2857142857143,NA,NA,NA,NA,NA,0
47.3854406352031,0,0,24017,1.28571428571429,0,0,0,42.4285714285714,42.4285714285714,38.8571428571429,84.1428571428571,50.7142857142857,41.7142857142857,62.1428571428571,66.1428571428571,93.1428571428571,21,49.2857142857143,74,NA,NA,97.5357142857143,4.56428571428572,1,68.7142857142857,NA,NA,NA,NA,NA,0
48.7421234699988,0,0,24021,1.35714285714286,0,0,0,41.2857142857143,43.2857142857143,36.5714285714286,84.4285714285714,51.1428571428571,42.1428571428571,65.4285714285714,67.4285714285714,91.4285714285714,21,47.8571428571429,71,NA,NA,99.4206349206349,4.55238095238095,1,68.1428571428571,NA,NA,NA,NA,NA,0
48.6727220455217,0,0,23979.6666666667,1.42857142857143,0,0,0,40.1428571428571,44.1428571428571,34.2857142857143,84.7142857142857,51.5714285714286,42.5714285714286,68.7142857142857,68.7142857142857,89.7142857142857,21,46.4285714285714,68,NA,NA,99.5079365079365,4.54285714285714,1,67.5714285714286,NA,NA,NA,NA,NA,0
49.5293962881076,0,0,23938.3333333333,1.5,0,0,0,39,45,32,85,52,43,72,70,88,21,45,65,NA,NA,100.464285714286,4.47619047619048,1,67,NA,NA,NA,NA,NA,0
50.6810616988484,0,0,23897,1.57142857142857,0.285714285714286,0,0,38.7142857142857,43.8571428571429,27.4285714285714,84.5714285714286,49.4285714285714,42.2857142857143,72.1428571428571,70.8571428571429,86.8571428571429,21.2857142857143,46.8571428571429,64.1428571428571,NA,NA,103.833333333333,4.44642857142857,7.85714285714286,67.2857142857143,NA,NA,NA,NA,NA,0
50.1420611022452,0,0,23928,1.64285714285714,0.571428571428571,0,0,38.4285714285714,42.7142857142857,22.8571428571429,84.1428571428571,46.8571428571429,41.5714285714286,72.2857142857143,71.7142857142857,85.7142857142857,21.5714285714286,48.7142857142857,63.2857142857143,NA,NA,107.964285714286,4.92142857142857,14.7142857142857,67.5714285714286,NA,NA,NA,NA,NA,0
50.9233304927743,0,0,23764,1.71428571428571,0.857142857142857,0,0,38.1428571428571,41.5714285714286,18.2857142857143,83.7142857142857,44.2857142857143,40.8571428571429,72.4285714285714,72.5714285714286,84.5714285714286,21.8571428571429,50.5714285714286,62.4285714285714,NA,NA,114.654761904762,5.40357142857143,21.5714285714286,67.8571428571429,NA,NA,NA,NA,NA,0
50.9917796811759,0,0,23940,1.78571428571429,1.14285714285714,0,0,37.8571428571429,40.4285714285714,13.7142857142857,83.2857142857143,41.7142857142857,40.1428571428571,72.5714285714286,73.4285714285714,83.4285714285714,22.1428571428571,52.4285714285714,61.5714285714286,NA,NA,118.214285714286,5.76428571428572,28.4285714285714,68.1428571428571,NA,NA,NA,NA,NA,0
49.6849028624434,0,0,24141,1.85714285714286,1.42857142857143,0,0,37.5714285714286,39.2857142857143,9.14285714285714,82.8571428571429,39.1428571428571,39.4285714285714,72.7142857142857,74.2857142857143,82.2857142857143,22.4285714285714,54.2857142857143,60.7142857142857,NA,NA,116.678571428571,5.85952380952381,35.2857142857143,68.4285714285714,NA,NA,NA,NA,NA,0
